n;corpus;index;date;year;sender;senderLocation;recipient;recipientLocation;languages;mainLanguage;text
514;Schmitz Livia;3;28/03/1906;1906;Ettore Schmitz;Londra;Livia Veneziani;Trieste;ITA,ENG;ITA;Alla moglie Londra, 28.3.1906 Carissima moglie, Ho ricevuta la cara tua del 25. Quanto tempo ci mettono queste benedette lettere! Io sono già stanco e stufo di stare qui e tu parli ancora della mia partenza! La tua preghiera deve aver servito perché poco dopo il mio passaggio — scrivono i giornali — è scoppiato il « casa del diavolo ». Causa la tua preghiera chissà che condensazione di mare sarà toccata agli altri! Naturalmente io sto meglio. Meglio di tutto poi sto apprendendo che ti sei ricordata di me intensamente e che m'hai seguito col tuo pensiero. Il vino di Venezia non m'ha fatto male. Magari averne qui! Ne portai una boccettina a Londra che bevemmo con Nicoletto. Oggi non fa tanto freddo. Dal freddo preso in viaggio io ebbi un forte dolore di schiena ad uso Gioachino. Iersera andai a letto (non a buon'ora) e presi un whisky caldissimo con l'acqua e sto benissimo. Pare che qui in questa stagione bisogna tenere la maglia di notte e cosi faccio. Oggi Nicoletto è indisposto e nel pomeriggio lo mandai a letto per un paio d'ore restando io in fabbrica a guardare i miei due operai che mescolano pittura. Ieri ti scrissi il mio programma mutato. Finora non l'applicai. Iersera i Francis mi mandarono a chiamare e passai la serata giuocando al giuoco dell'oca in inglese (mother-goose). Fu una serata interessantissima, guadagnai anzi 2 p. Domani a sera andrò a trovare Tchaperoff che mi vi sollecita. Il bambino di Tchaperoff è oramai la persona più divertente della casa. C'è il cognato di Tchap. il quale venne a trovarmi anche in fabbrica vestito per andare a cavallo con le gambe tutte coperte di corame. É un simpatico giovanotto che trova che parlo molto bene l'inglese. Tu non lo crederesti: Questa lettera è stata cominciata questa mattina alle sette. Corri di qua, corri di là, due visite di Tchap., la visita dell'ispettore delle assicurazioni il quale volle vedere anche il cesso. Sono le suonate e scrivo in fretta e furia per andare a casa a lavarmi. Ti abbraccio ben di cuore mia cara Livia. Tuo Ettore. Di a Olga che il « Iago » è in prima vista. Mi resteranno 4 o 5 giorni per fare qualche cosa perché avrò la merce in fabbrica oggi o domani a otto. 
515;Schmitz Livia;4;29/03/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Charlton, 29.3.1906 Carissima Livia, Ho ricevuto la cara tua del 26. Il telegramma era secco perché a bagnarlo costava, e, come sai, lo pago io delle mie rendite. Quella canaglia di Letizia dovrebbe pur mandarmi una parola. Prendila pel collo e finché non ha scritto non lasciarla andare. Oggi ti scrivo poco e in furia. Nicoletto è ammalato, egli dice di stare ancora peggio dell'ultima volta che ci fece prendere quella paura. Lo lasciai a casa a letto e sono obbligato di fare tutto da me stesso. È un gusto che non ti dico. Buono che abbiamo un operaio inglese (bottaio) ch'è stato trattenuto dall'ultima volta e che capisce molto bene il motore. Parlane a Olga e a Marco e domanda loro se non sarebbe da tenerlo anche ora che le doghe vanno diventando scarse. Io lavoro pochissimo, per quanto si tratti di pitture che mi stancano mollo. Ho 5 operai (compreso Nicoletto) e non arrivo a fare neppure quello che dovrei. Sai il pensiero che ho per Nicoletto. Tchap. mi consigliò di chiamare il dottore e questa sera, se non starà meglio, lo chiamerà. Costerà, credo, 10 scellini. Già è desino che quando si viene qui si abbia tutte le seccature. Streeler mi mandò a pregare di andare da lui sabato sera. Ho accettato ed ora ne sono dispiacente ricordando il suo contegno dell'altra volta. Già, è cosa poco importante e giuocherò un'altra sera all'oca. Sono quasi le 6 e sto terminando questa lettera cominciata questa mane. Sono stato a pranzo a casa per vedere un po' Nicoletta. Pare non stia molto meglio. Questa sera deciderò il da farsi. Ti abbraccio ben di cuore, mia cara Livia. Tuo Ettore. Iersera non seguii ancora il programma fatto. Andai ad assistere Nicoletto, poi leggiucchiai i giornali della sera e mi cucciai alle 9. Per un errore fatale ero in piedi alle 6 invece che alle 6 e ¾ cosi che cominciai a bestemmiare di buon'ora. Salutami caramente tutti di casa: I signori suoceri, Nella, Marco e Dora e Beni se ci sono. Come sono le note di Bruno? Proprio cattive? Dammi notizie dei pulcini. 
516;Schmitz Livia;5;30/03/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,ENG;ITA;Alla moglie Charlton,   30.3.06 Carissima moglie, Ho ricevuto la cara tua del 27 corr. Invece tu non riceverai la mia di ieri che con la mia di oggi — la presente. L'avevo già chiusa e nella furia di chiudere la fabbrica, di vedere se lasciavo ogni cosa in regola la dimenticai. Poi pensai ch'era meglio di non inviartela perché t'avrebbe impensierito la malattia di Nicoletto. Oggi egli sta meglio ma non perfettamente. Lo lasciai a casa a letto anche oggi. La signora Francis andò dal dottore (dal quale Nicoletto era stato la sera prima) a domandargli se si trattava di un raffreddamento. Egli disse di si e di non sentire il bisogno di rivederlo, mandò invece un'altra medicina. Tchap. venne di sera a trovarmi e mi consigliò di non dare a Nic. quella medicina ma invece di dargli una forte dose di chinino. Andammo da Wigg il quale si meravigliò della potente dose che si domandava. « Oh! » disse Tchap. « it is for Continental people ». Il farmacista parve molto convinto e diede la dose domandata. Diffatti oggi Nic. sta meglio. Voleva alzarsi ma io non glielo permisi, domani certamente si leverà. L'obbligai a prendere questa mane un'altra di quelle pillole ad onta ch'egli, essendo di Murano, non è affatto continentale. In fondo dei fondi m'annoio mortalmente e molto più di quanto mi sia aspettato. Molto ha contribuito, per questi 2 giorni, l'assenza di Nicoletto che m'ha obbligato di stare da mane B sera accanto ai quattro operai che ho. Vi sono molte spedizioni di cose piccole, una quantità di vasi da pesare e prima di ripiegarci io con la mia lingua e loro con la loro intelligenza, è lunga. Non ho fatto un quarto di quello che feci la volta passata in una settimana e mi costò molto. Certo, avere qui un operaio di cui fidarsi è molto. Ma il lavoro è anche rabbiosetto. A Tchap. occorre una parte di pitt. a freddo e una a caldo. Ma tutto di ambedue io non posso fare perché non ho merce e calcola di qua, calcola di là, si finisce col non fare nulla. Insomma anche questa passerà ma dovrò rimanere proprio per essere il sabato di Pasqua a casa perché la merce m'arriverà forse giovedì o venerdì e se parto prima il mio viaggio sarebbe stato veramente inutile. Capisci come in questo stato d'animo mi saresti stata indispensabile. Invece tu, capra, te la passi fra balli e teatri. Ti abbraccio ben di cuore insieme a Titina. Tuo Ettore. 
517;Schmitz Livia;6;31/03/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,UND;ITA;Alla moglie Charlton,  31.3.1906 Carissima Livia, Ho la tua del 28. Mi dispiace di sentire che Letizia stia male. Bisognerebbe pur pensare a qualche cura radicale che ci consigliava a suo tempo Picchini di Venezia. In genere quando viene un brusco ne vengono poi di più. Vorrei non essere profeta. Oggi Nicoletto è venuto in fabbrica ma ti scrivo poco perché è sabato, devo far le paghe, e fare un lavoro in fabbrica, farmi la barba, vestirmi, mangiare ed essere alle due alla stazione per andare al « Colyseum ». Quella vita del sabato che tu già sai. Questa sera alle 8½ vado da Streeter. Il violino non l'ho toccato ancora, meno un giorno. Non valeva la pena di farlo viaggiare traverso l'Europa se ha da continuare cosi. Ti prego di telefonare al cap. Scopinich che prima ch'io parta voleva darmi un incarico per Londra. Io non lo rividi più.   Dirò  a  Tchap.   di  comperare  i  termometri. Ti dò un bel bacio di tutto cuore e con tutta l'anima. Tuo Ettore. Dimenticavo di dirti che ho dormito splendidamente e che oggi sono molto più sereno di ieri. Il riposo domenicale vicino mi  piace. 
518;Schmitz Livia;7;02/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,ENG;ITA;Alla moglie Charlton,   2.4.1906 Carissima Livia, Sono giunto alle 7½ in fabbrica e non c'è ancora alcuna tua lettera. Questa benedetta domenica inglese! Prima di parlarti del giorno di ieri ti dirò della serata di sabato. Il pomeriggio lo passai con Nicoletto al «Colyseum » ove, però, non mi divertii molto. Sarà, per questa volta, l'ultima andata a Londra perché, se questa settimana mi arriva la merce, il prossimo sabato nel pomeriggio lavoro e se mi riesce d'indurre qualche operaio al lavoro resto anche la domenica mattina fino alla una. Dopo teatro, con immensa fatica, disturbando tutti i policemen di Londra, trovai il centro di Londra, il luogo ove si vendono i Sultan, comperai li accanto una bottiglia di Maraschino di 6 scellini per la signora Francis. Fra me e Nicoletto, poi, non riuscivamo a trovare Charing Cross  ma con l'aiuto dei policemen ci riuscimmo e arrivai sano e salvo a Church-Lane  ben contento di esserci. Insomma a Londra non ci vado più. Alle 8½ andai da Streeter. Hanno una stanza da musica troppo piccola arredata da innumerevoli mobili disformi.  Streeter strimpellava affannosamente accompagnato dalla sorella. Certo, resto della mia opinione che Streeter per non aver avuto mai alcun maestro (se è vero) è un vero e proprio miracolo. La, sorella poi suona il piano poveramente (musica un po' stupida) ma passabilmente. Canta poi discretamente. E gente realmente molto occupata. Mentre io era là, varie volte la vecchia signora Streeter sali e discese per ricevere e dare ordini. Io capisco che la signorina non abbia né accettato il nostro invito, né invitatici, per un riguardo un po' meschino ma giustificato. Sono tutti in un'attività febbrile e d'altro canto non debbono avere grandi mezzi. Una grande aria di rispettabilità c'è in tutta la famiglia. Io credo che di tipi simili da noi non ce ne siano tanto poveri, tanto sereni e tanto attivi. La voce della signorina Streeter non ha nulla da fare con quella della signora Tchap. cosi argentina e nulla. Somiglia una voce italiana. Io le rimproverai di non aver cercato di stare di più con te. Non invitai, non dissi arrivederci e quando mi congedai parlai della nostra ventura venuta come se avessi avuto da partire oggi. Trovai colà un signor Denby zio degli Streeter e una signorina Tellington amica della signorina e che dovrebbe essere qualche cosa del nostro signor Elwing. Pur troppo tanto lo zio quanto la signorina cantano anch'essi. M'obbligarono di suonare il violino, un pezzo a prima vista. Suonai, pur troppo! Me ne avevano fatte sopportare tante a me che suonai con una certa voluttà a tutt'arco. Ieri mattina ci alzammo tardi e fecimo una colazione succulenta di bacon e uova. Ho ricevute le tue del 29 e 30 corr.   (...) Devo consegnare 10 tonn. venerdì e non ho ancora il precipitato. Ieri passai ½ della giornata dai Tchaperoff Furono molto gentili e il bambino è un tesoro. Ti abbraccio di cuore. Bacia la mia Titina. Saluta tutti. Tuo Ettore. 
519;Schmitz Livia;8;04/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,ENG,UND;ITA;Alla moglie Charlton,  4.4.1906 Carissima Livia, Posseggo la cara tua del 1° corr. Se hai deciso per il Lido sta bene, io sono d'accordo e credo anche sia la cosa che ci è pili facile. Però è impossibile che passiamo un giorno insieme a Venezia a meno che tu non sia d'accordo di passarci il sabato di Pasqua. Anche questo mi è difficile perché veramente dovrei partire da qui appena venerdì ma se tu decidi d'essere a Venezia venerdì sera io partirei giovedì. Scrivimi subito e farò come tu mi dirai, t'avverto che sarebbe impossibile anticipare la mia partenza anche di sole ore. Tu conosci i treni e mi fai pervenire le tue disposizioni. E non saprei più cosa dirti. Ieri andai a letto alle 9 stanco morto. Oggi sto finendo le 10 tonn. per Gibilterra e sarei ben più avanti se Tchap. non fosse venuto a prevenirmi che alle 10 in punto avrei avuta la visita dell'ispettore delle fabbriche dell'Ammiragliato. Corsi a comperare una bottiglia di vino, biscotti e sigari (7/6). Saranno pagati dalla casa ma mangierò, beverò e fumerò io perché egli è teetotaler  e non accettò niente. Un uomo gentilissimo che mi prescrisse di mangiare molti aranci quando prendo freddo, di non leggere più il « Morning Leader » ma il «Daily Mail »  (di cui mi regalò una copia), di non credere al bluff delle varie sette religiose ma di tenermi alla chiesa unita che sia d'Inghilterra d'Austria o d'Italia. Non sapendo con chi avevo da fare non volli confessare che tutte le mie simpatie erano per i Whigs, egli è un Whig puro sangue e cercò di convincermi che l'Inghilterra non poteva imporre dazii. Per ultimo mi consigliò di far bollire l'acqua di Londra prima di berla perché è troppo calcarea. I reumi provengono non dal caldo e dal freddo ma dalla calce. Visto che stavo a sentirlo col massimo interesse, cominciò anche lui a interessarsi a me e mi domandò come mi chiamassi. Ritenne che i miei antenati sieno stati inglesi (Smith) e che venendo in Italia il mio nome sia stato tempestato da tutte le consonanti di questo mondo come vogliono... gl'italiani. Trovò che l'inglese quando ha denaro è capito da per tutto ma quando non ne ha non è capito in nessun luogo. Ha viaggiato molto ma sempre a bordo dei battelli di  S.  M.  ove si parla inglese e a colpi di cannone. Poi se ne andò contentone di aver inteso tutto. Alla porta mi domandò: « Che specie di pittura fornite all'Ammiragliato? ». Io gli risposi anglicanamente: «Qualunque specie l'Amm. domandi ma l'Amm. compera da noi questa e questa...». Stette un momento esitante se dovesse ritornare in fabbrica a vedere li pittura o andarsene. Si fermò e disse: «Voi come straniero non dovreste leggere sempre lo stesso giornale ogni giorno... ecc. ecc. ». Tutto questo è esatto e puoi leggerlo a Olga aggiungendo però che egli prese nota delle dimensioni del n. fondo e fabbricati, della forza delle macchine e della qualità, della qualità e grandezza di caldaie e depositi. La maggior parte in base alle n. indicazioni perché in certi luoghi puzzava troppo ed egli piangeva come un vitello. Spero che Olga sarà contenta di me e puoi assicurarla ch'io leggerò quella copia del « Daily Mail » da capo a fondo per fare in tutto e per tutto i voleri dell'Ammiragliato. Non sai niente quando venga a Trieste Ottavio? Anche questo ho da decidere perché se Ottavio arriva il sabato io vorrei pur esserci. Ti abbraccio ben affettuosamente mia cara Livia. Arrivederci di qui a 11 giorni. Tuo Ettore. 
520;Schmitz Livia;9;05/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,ENG;ITA;Alla moglie Charlton, 5 Aprile  1906 Carissima mia moglie, Ho ricevuto la cara tua del 2. Confessa, capra, che più che la mia assenza ti preoccupa tutto quello che succede nell'altra casa. Ne hai la testa e l'anima piena e per me non resta proprio niente. Non te ne faccio un grande torto ma è proprio così. Se ti fossi accanto cercherei di convincerti che da quella parte non c'è nulla né da temere né da sperare. E tutto infelicemente assicurato e solido e se non ci fosse un  limite alla vita umana colà tutto continuerebbe con grazia all'infinito con le stesse parole e con i medesimi atti. Non ch'io non senta con tutti voi l'infelicità di povera Nella e di povero Marco ma il fatto è che guardandoli ci si convince che si dibattono sempre nei medesimi lacci e — date le nostre convinzioni e, specialmente, convenzioni — non siamo al caso di aiutarli. Adesso ascolta un po' cosa succede al tuo misero marito e se è consigliabile di lasciar viaggiare solo in paese anglo-sassone un simile tizio. Ti assicuro che io feci la più stretta economia. Arrivai a Londra con in tasca più di una sterlina risparmiata sulle spese di viaggio. Puoi immaginare i calcoli che facevo su tutto l'oro che dovevo portarti e la tua sorpresa e la tua ammirazione!! Stavo precisamente facendo di questi calcoli e facendo ballare in tasca tre sterline d'oro che, essendo mie, avevo prese dalla cassa, quando si suonò alla porta della fabbrica. Andai ad aprire io stesso non volendo che gli operai perdano tempo. Mi trovo dinanzi due sottufficiali di marina mercantile coi galloni. Uno portava un grosso sacco sulle spalle, ma un bel sacco di tela da vela, di un tessuto fitto fitto. Li feci entrare con un certo rispetto. Quello che non portava il sacco doveva essere il superiore: Un bel giovane, vero inglese, sbarbato a puntino, dalla faccia austera e leale. Li feci entrare e con quella dirittezza inglese che tanto mi piace andarono subito all'argomento. Avevano delle pelliccierie prese da loro stessi al polo sud e al polo nord, a Trebisonda e all'Alaska, a Zanzibar e in California. Spiegarono le pelliccie con grande compiacenza quantunque io ripetessi che non volevo comperare niente. « There ìs no harm done », mi dicevano. Cominciai a chiacchierare per avere gratis la mia solita lezione d'inglese. Rimpiansi che non erano venuti mezz'ora prima. Avrebbero trovato Tchap. che sicuramente avrebbe comperato qualche cosa. Poi per indennizzarli presi del vino lasciato dall'ispettore delle pitture e l'offersi loro. La maggior parte della merce nel loro sacco era composta di pelli d'orso e d'altri animali del polo nord, del polo sud, di Zanzibar... ecc. È vero che fra quelle pelli mi parve distinguere anche la ben nota pelle del nostro moretto  ma pensai si trattasse di qualche suo antenato di altre regioni. Sul più bello tirarono fuori un manicotto e un collare di pelliccia (sables dissero). Mi venne l'acquolina in bocca! Di color oscuro con riflessi gialli e rosei, la facevano ballare in mano che pareva la bestia viva ma una bellissima bestia soffice e destra. Io palpavo le mie tre sterline e guardavo il desiderato oggetto pensando che toccando al decimo anniversario del nostro matrimonio  dovevo cominciar a pensare all'indennizzo. Domandai il prezzo: Quattro sterline, in America sarebbe venduto subito per 25 dollari quantunque colà hanno le pelli indigene. « Mi dispiace » risposi « ma non ne facciamo niente». Con tutta calma essi riposero tutto nel sacco e stavano per congedarsi. A me bruciava di lasciar partire quell'indennizzo tanto a buon mercato e, certo se io ti avessi detto le mie impressioni come erano allora, tu mi avresti dato della bestia di essermi lasciata sfuggire un'occasione simile. Balbettando parlai di 2 sterline. Non ne vollero sapere e fecero atto di mettere anche il manicotto in sacco, invece in quel sacco dalla tela fitta finii proprio io. Ebbi un'idea: Chiamai Nicoletto a consiglio. A lui vedendo la bestia che ballava di nuovo nelle mani dell'inglese brillarono gli occhi. « Deve valere almeno cinque sterline! » disse in italiano. Fu decisivo: Le tre sterline passarono dalla mia tasca in quella dell'inglese più fino. L'indennizzo si trovò sul mio putto e i due inglesi scomparvero come se non ci fossero mai stati lasciando però vere traccie del loro passaggio. Cominciai ad esaminare i due oggetti più da vicino e mi sorpresi che il manicotto tanto fine fosse foderato di tela anziché di seta. « Questi marinai! » pensai. In genere mi parve di poter essere soddisfatto del mio acquisto. A pranzo Nicoletto guardava il manicotto e sognava. Questa mane venne Tchap. Guardò il manicotto e, come è fatto lui, mi consigliò di non dire a nessuno di aver fatto un atto di commercio simile. Mi disse che, quantunque non se ne intendesse, egli riteneva che le due cose insieme non potessero valere più di 10 scellini e... 6 pence. Poi mi consigliò di parlarne a Rhodes e di domandargli — dicendogli che i due oggetti mi venivano offerti — quanto potessero valere. Rhodes disse di potermi procurare gl'identici per 8 scellini o forse, 7 scellini e 6 pence. Forse Rhodes e Tchaperoff s'ingannano ed io non ne parlo più con alcuno. Porto i due cosi mostruosi a Trieste e li metteremo nel tesoro di famiglia ove abbiamo già tante altre belle cose. Intanto avendoti raccontato tutto l'afflizione non è più mia ma tua. Perdi 3 sterline e hai una prova di più quale razza di uomo hai sposato. Intanto ti abbraccio e bacio di cuore insieme alla mia Titina cui scriverò domani. Ettore. Io penso di partire anziché giovedì mattina mercoledì a sera. Qui non perdo niente e guadagno un giorno nell'arrivo. Devo studiare gli orari. C'è un tal affollamento nei treni continentali che non sanno dove dar del capo. Di' a Olga che ho ricevuto la sua lettera del 2. Com'essa saprà oggi sono uscite di fabbrica 13 tonn.   circa di pittura. 
521;Schmitz Livia;10;06/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,UND;ITA;Alla    moglie Charlton,   6.4.1906 Carissima  Livia, Ho ricevuto la cara tua del 3. Io spero che all'arrivo della presente il temporale ch'è passato per la casa di Nella sia passato. Anzi, riferendomi a quanto ti scrissi ieri, ne sono sicuro. Giovare da qui non posso nulla e non potrei probabilmente giovare neppure  se fossi a Trieste. Ho deciso di partire di qua giovedì sera anziché mercoledì. Sarò perciò a Trieste sabato mattina in punto per mangiare le uova di Pasqua. Ho grande disordine tanto in fabbrica dove si lavorò frettolosamente quanto nella mia trappola ove quantunque abbia lavorato come hai visto, tutto s'è gonfiato e insudiciato di nuovo. Non ho cuore di lasciare la fabbrica in tale stato tanto più che se partissi mercoledì sera dovrei fare della pittura a freddo in gran fretta e perciò pittura dubbiosa. Vale meglio sacrificarci per un giorno di più e avere la tranquillità. Ricordo averti detto che se lo volevi potevo essere a Venezia sabato. Se ci tieni a questa giornata di Venezia telegrafami la parola Mercoledì e ciò significherà ch'io devo partire mercoledì sera. Qui, tutt'ad un tratto, fa un caldo terribile ed io lavoro vestito come un pica-abiti sudando e soffrendo che non ti dico e non fidandomi di alleggerirmi per paura del mal di schiena che mi fece soffrire molto i primi giorni. D'altronde non ho idea da che parte si cominci per alleggerirsi. Non ho un'idea neppure di quello che ho portato qui e, al mio arrivo, Meggie ha messo tutto bellamente all'ordine nei cassetti ed io non trovo  più niente.  Anch'essa è   una  di  quelle  dell'ordine  mentre  sarebbe stato tanto semplice di lasciare tutto a vista d'occhio in un buco solo. E destino che l'omo peni. Di mattina a buon'ora mezzo ubbriaco di sonno io indosso la stessa buccia (j messa il giorno prima. Ma questa sera prima di andare a letto mi vesto tutto di nuovo e poi smetto tutto per trovare a posto quello che mi occorre il  giorno dopo. Devo andarmene. Sono le 7 e ho ancora da mettere qualche cosa in quelle benedette caldaie. In tutti i casi io ti telegraferò la mia  partenza visto  che   se finisco prima parto  prima. Ti abbraccio di cuore.  Tuo affo Ettore. 
522;Schmitz Livia;11;07/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA;ITA;Alla    moglie Charlton,   7.4.1906 Carissima moglie, Due parole in fretta. Ho ricevuto la cara tua del 4. Sono sporco fino ai capelli. Devo ancora lavarmi e sono le 7 del sabato. Mi compiaccio delle buone notizie che mi dai di Marco e Nella Bliznakoff. Spero che vi avviate tutti allegramente alle uova pasquali. Io arriverò all'ultima ora. Tchaperoff mi assicura che partendo da qui giovedì sera arrivo a Trieste sabato mattina. Farò quest'esperienza. Intanto questa mia ricevi martedì, e quella di martedì sarà l'ultima che ti scrivo per questa volta. Ti  abbraccio ben  di  cuore.   Tuo  affo Ettore. Prendo le pantofole sotto le quali mi metterai. Vorrei esserci già. 
523;Schmitz Livia;12;09/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA,ENG;ITA;Alla moglie Charlton,   9.4.1906 Mia cara Livia, Ricevetti le carissime tue del 5 e del 6. Non ti scrissi neppure questa domenica. Lavorai fino alle 3 pom. senza tralasciare un momento solo. Mangiai e stupidamente pensai che una passeggiata a Greenwich m'avrebbe fatto bene. Poi ritornai lasciando deluso povero Nicoletto che s'era aspettato ad un divertimento migliore e mi gettai sul sofà ove stetti a riflettere mestamente ai fatti miei fino ad ora di cena. Poi trovai un po' di più allegria leggendo Pickwick e mi coricai come un angioletto alle 8½ Oggi m'arrivò un po' di caldo con le due care tue lettere per le quali ti ringrazio. Passerò un po' meglio questi ultimi giorni. Ti scrivo poco perché anche per arrivare a partire giovedì sera devo fare uno sprint finale non indifferente. Ho pochi operai e devo stare loro attorno come tu alla crema fritta perché non si bruci. Sono abbastanza contento del lavoro che ho fatto ma mi dà grave pensiero il lasciare qui tante pitture a freddo. Domani ti scrivo e anche mercoledì. Non ti telegraferò il momento della partenza ma in viaggio quando saprò l'ora dell'arrivo. Tuo Ettore. 
524;Schmitz Livia;13;10/04/1906;1906;Ettore Schmitz;Charlton;Livia Veneziani;Trieste;ITA;ITA;Alla moglie Charlton,  10.4.1906 Carissima Livia, ho ricevuto la cara tua del 7. Ho passato la giornata nella stanza dell'ichtileia , ma non sono malcontento della mia giornataccia. Ho poco tempo perché questa sera vado a prendere congedo dai Tchaperoff. Poche parole, perciò, ma di succo. Se arrivo a partire giovedì alle 2 indubbiamente ti mando il  dispaccio  « Vieni ».   C'è il  caso che a Venezia provvedi al  Lido   ed  io   ne   approfitto   perché   m'è   insopportabile   l'idea  di restare tante ore solo a Venezia. Da ciò capisci come anelo di rivederti. Vinco la mia antipatia di lasciarti viaggiare sola. In attesa di baciarti meglio ti bacio con questo odioso inchiostro. Tuo   Ettore. 
525;Schmitz Livia;14;27/08/1906;1906;Ettore Schmitz;Trieste;Livia Veneziani;Tarvisio;ITA;ITA;Alla    moglie Trieste,  27 Agosto   1906 Carissima moglie, Sono arrivato alla una e mezza ma appena adesso potei telegrafarti che domani a sera parto per Venezia perché appena adesso arrivammo a metterci d'accordo. Sono già stato al Lloyd e ho discusso affari d'Italia di Germania e d'Inghilterra. Esiste ancora il Manhardt  che mi fece girare tanto la testa o non esiste più? Io credo davvero che sia stato un sogno. Qui non fa tanto caldo come avrei creduto perché questa notte ebbero un i emporale. Ma il sole scotta. Domani probabilmente sarà peggio. Ho trovato tutti bene meno Olga che è ancora un poco più da male di quello che era. Credo andrà a Milano e a Montpellier e a Londra e che si rimetterà. Spero che la mia Titina avrà riacquistato il suo buon umore subito dopo la mia partenza. Mi dispiacerebbe che sentisse più di quanto la sua età comporti. Ti prego di salutarmi caramente tutti i signori della comitiva ' Tarvisiana.  A  te   un   abbraccio   di   cuore   dal   tuo   aff.o Ettore. Mi  sento  abbastanza  solo. Ho comperato due cestelli per frutta. Domani vedrò cosa ci metterò   dentro. Ho consegnato la lettera di Marco e il pacco di Dalia. 
526;Schmitz Livia;15;28/08/1906;1906;Ettore Schmitz;Trieste;Livia Veneziani;Tarvisio;ITA;ITA;Alla moglie Trieste, 28 Agosto  1906 Carissima Livia, Ho ricevuto il tuo biglietto scritto subito dopo la mia partenza e sono lieto che un poco senti la mia mancanza. Sai che talvolta durante questo mese ero quasi indotto a dubitare se la tua campagna non sarebbe stata più serena senza avere continuamente accanto a te tale un seccatore. Tanto meglio cosi e ci tollereremo — pare — ancora per qualche anno. Basta che tu mi avvisi in tempo... Prima di tutto ti mando qui accluse due ricevute postali per due pacchi da cinque chili ciascuno che ti mandai di frutta e legumi. Pagai cesti e posta (miserie) ma tutto è venuto da Dolina. Darai quello che le spetta da buona sorella a Nella e forse essa, buona come sempre, vi farà gustare un buon piatto di melanzane che vi governerà il carattere e vi renderà più buone e più generose con la servitù Gelbfussiana. Scriverai subito a Gioachino come è riuscita la spedizione. Qui regalano a cani e porci tutto perché gli alberi crollano sotto il peso delle frutta. Non credo però che sarà possibile mandarvi dei fichi che ora cominciano. Ti sto scrivendo molto tardi perché ero occupato il giorno intero. Giovanni Mayer — lo scultore — mi mandò di regalo lo splendido busto di Veruda. Non ho avuto cuore di partire da Trieste prima di domani a sera e in compenso lavorerò la prossima domenica. Domani perciò sarò senza tua lettera perché certo tu avrai scritto a Venezia. Non valeva la pena di telegrafarti perché a quest'ora la tua lettera dovrebbe essere già partita. Domani alle dieci sarò al cimitero per l'inaugurazione del busto. Si parla di mandarmi di qui a pochissimo tempo a Londra per pitture a freddo di cui ci sarà urgente bisogno. Trattandosi di tali pitture starò di certo più di un mese. E deciso che tu verrai con me salvo tue decisioni in contrario. Di Meggy io non so niente e mi è odiosa l'idea che tu esprimevi di mangiare dai Francis. Scrivimi di nuovo il suo indirizzo se vuoi che le scriva. Forse preferirai di aspettare e vedere se non trovi a Londra qualche cosa di meglio. In tutto questo sei la padrona tu ma mi fa fastidio di mangiare coi Francis. Ho ricevuto una cartolina postale da Aurelio. Digli che lo ringrazio e che gli raccomando tutto e tutti ma specialmente Angelo. Salutami caramente Dalia e la signora Di Veroli, Giorgetto  e quanti possono interessarsi di me. Dammi buone nuove di Marco e di Nella i quali — spero — gusteranno  il  paradiso  che abitano. Cerca  di  comportarti bene ...  ecc.  Io  starò   a Venezia fino  a lunedì o  martedì   a   sera. Ti abbraccio ben di cuore, mia cara Livia. Voglimi bene. Tuo aff.o Ettore. 
